Province,Year,temperature_2m_max_core_MayAug,vapour_pressure_deficit_max_core_MayAug,soil_moisture_0_to_7cm_mean_core_MayAug,relative_humidity_2m_mean_core_MayAug,precipitation_sum_core_MayAug
AB,1995,19.52957373,1.3333798,0.317372888,66.15030722,9.521305684
AB,1996,19.4556298,1.434876728,0.314233794,64.45721966,9.467603687
AB,1997,20.13353303,1.439622888,0.308901037,64.41105991,9.198709677
AB,1998,22.26410906,1.689842934,0.284923118,60.87235023,8.853517665
AB,1999,19.62854455,1.485492704,0.29958126,61.18648233,8.375883257
AB,2000,19.90524578,1.525437404,0.296969124,61.46589862,9.098172043
AB,2001,21.41267665,1.755664747,0.26486874,56.88671275,7.287895545
AB,2002,19.96826037,1.576149386,0.293046006,59.8656298,8.317050691
AB,2003,20.73192396,1.629768433,0.295363057,61.54243472,7.277127496
AB,2004,19.03993088,1.26865937,0.31109351,67.23364055,9.616374808
AB,2005,19.263798,1.301527266,0.30572765,66.88452381,10.28834101
AB,2006,21.68576805,1.695863671,0.27713679,61.18229647,7.530768049
AB,2007,20.7064977,1.521876344,0.304215399,65.18429339,8.730368664
AB,2008,20.44774578,1.543594854,0.295866206,62.98037634,8.035222734
AB,2009,20.03869816,1.53521467,0.274485484,60.58033794,6.386190476
AB,2010,18.92438172,1.326545315,0.312673848,65.57442396,9.637019969
AB,2011,19.48081029,1.315334485,0.316602688,66.52822581,9.584393241
AB,2012,20.77044547,1.483088326,0.312703072,64.34861751,9.601935484
AB,2013,20.4413172,1.334522657,0.313991321,68.28936252,8.57764977
AB,2014,20.43852535,1.447377112,0.301757565,65.85126728,8.104731183
AB,2015,21.61527266,1.735127112,0.257941321,58.84470046,5.975529954
AB,2016,20.72193932,1.415582181,0.319071352,66.42749616,12.19832565
AB,2017,22.04608295,1.771467358,0.281755069,60.19412442,7.535038402
AB,2018,22.21965054,1.820551075,0.264159639,59.91025346,7.360138249
AB,2019,19.41777266,1.360839094,0.319430568,67.24585253,10.22817204
AB,2020,20.06689708,1.430308372,0.315494585,65.59408602,11.16695853
AB,2021,21.98907834,1.804132488,0.277093894,61.72100614,7.074592934
AB,2022,21.35599078,1.657130568,0.29446129,63.2172043,10.06857143
AB,2023,23.34806068,1.884372888,0.278777727,62.81620584,9.450399386
AB,2024,21.05516129,1.654429339,0.29473149,63.07830261,9.981658986
MB,1995,22.01159274,1.434471102,0.296860372,68.08028674,10.40370968
MB,1996,20.94248656,1.29946819,0.312224238,69.30336022,10.14026882
MB,1997,21.21815636,1.377091846,0.303891084,67.92170699,9.697482079
MB,1998,21.36269041,1.237989695,0.317424395,71.71155914,12.87273297
MB,1999,20.46163754,1.161484767,0.324978584,71.83770161,12.7390233
MB,2000,20.24345654,1.147224014,0.3212681,71.8234991,11.89990143
MB,2001,21.31424731,1.239027106,0.309608401,70.86301523,10.68829749
MB,2002,20.75216174,1.285468638,0.298004772,68.46135753,11.51570789
MB,2003,22.32558244,1.484711022,0.278314449,66.88333333,8.454193548
MB,2004,17.52277106,0.941168683,0.341549955,72.22051971,12.96864695
MB,2005,20.02528002,1.090979167,0.325287074,72.89887993,12.00165771
MB,2006,22.35522625,1.432119624,0.272553719,68.57058692,7.49
MB,2007,21.30545027,1.205181452,0.321548925,72.44601254,12.50479391
MB,2008,20.20178091,1.250709005,0.306347648,68.01397849,11.40426523
MB,2009,19.09618952,1.148708781,0.303166644,69.70537634,9.143960574
MB,2010,20.54286738,1.151039427,0.335769153,73.62419355,14.05817204
MB,2011,21.23047939,1.350439516,0.30755009,69.30573477,10.01463262
