Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
AB1,1995,1,-0.735483871,0.119354839,0.259354839,0.258387097,72.29032258
AB1,1995,2,2.739285714,0.064285714,0.542857143,0.259357143,57.42857143
AB1,1995,3,6.396774194,0.870967742,0.71516129,0.257677419,59.77419355
AB1,1995,4,10.18666667,1.253333333,0.747666667,0.2937,64.1
AB1,1995,5,17.13548387,1.880645161,1.238064516,0.279322581,64
AB1,1995,6,22.75666667,2.843333333,1.709333333,0.247533333,61.63333333
AB1,1995,7,24.99354839,1.216129032,2.003225806,0.204387097,59.41935484
AB1,1995,8,24.52580645,2.106451613,2.081290323,0.228064516,55.41935484
AB1,1995,9,20.43,1.206666667,1.699333333,0.209666667,54.56666667
AB1,1995,10,11.80322581,1.193548387,0.845806452,0.243,62.58064516
AB1,1995,11,2.826666667,0.836666667,0.38,0.257166667,66.86666667
AB1,1995,12,-5.312903226,0.909677419,0.14,0.310903226,74.70967742
AB1,1996,1,-11.92580645,1.209677419,0.099677419,0.344387097,74.48387097
AB1,1996,2,0.824137931,0.196551724,0.434137931,0.35037931,60.62068966
AB1,1996,3,2.216129032,0.822580645,0.473225806,0.320419355,62.38709677
AB1,1996,4,13.54333333,1.076666667,0.971333333,0.2876,62.03333333
AB1,1996,5,14.18387097,2.387096774,0.868064516,0.295354839,68.96774194
AB1,1996,6,22.97,2.136666667,1.925333333,0.233533333,54.6
AB1,1996,7,26.01290323,1.006451613,2.291935484,0.187354839,52
AB1,1996,8,28.47419355,0.441935484,3.078387097,0.147096774,40.77419355
AB1,1996,9,17.32333333,2.47,1.251333333,0.245,62.23333333
AB1,1996,10,12.07096774,0.741935484,0.877096774,0.256419355,59.96774194
AB1,1996,11,-4.77,1.426666667,0.219666667,0.240133333,76.13333333
AB1,1996,12,-7.625806452,1.087096774,0.121935484,0.233419355,77.12903226
AB1,1997,1,-7.564516129,0.283870968,0.121935484,0.318612903,75.5483871
AB1,1997,2,3.514285714,0.296428571,0.405,0.345571429,70.78571429
AB1,1997,3,4.974193548,0.967741935,0.593548387,0.332193548,63.22580645
AB1,1997,4,10.13,0.74,0.89,0.2766,52
AB1,1997,5,18.29354839,1.993548387,1.485483871,0.219967742,54.4516129
AB1,1997,6,22.7,1.916666667,1.729333333,0.226833333,57.73333333
AB1,1997,7,26.0483871,0.777419355,2.37483871,0.194129032,50.74193548
AB1,1997,8,26.77419355,0.961290323,2.638387097,0.176935484,49.67741935
AB1,1997,9,24.30333333,0.28,2.347333333,0.151533333,43.23333333
AB1,1997,10,13.41290323,0.387096774,1.09516129,0.179354839,54.87096774
AB1,1997,11,5.636666667,0.143333333,0.565666667,0.182133333,63.3
AB1,1997,12,3.467741935,0.241935484,0.481612903,0.174612903,57.51612903
AB1,1998,1,-5.2,0.3,0.191290323,0.220258065,75.38709677
AB1,1998,2,6.489285714,0.042857143,0.600357143,0.238785714,64.92857143
AB1,1998,3,3.064516129,1.696774194,0.404516129,0.274129032,68.32258065
AB1,1998,4,14.67333333,0.97,1.131333333,0.289066667,61.3
AB1,1998,5,21.36129032,1.425806452,1.821290323,0.206548387,49.80645161
AB1,1998,6,20.23333333,5.15,1.420666667,0.2648,62.93333333
AB1,1998,7,27.82903226,1.177419355,2.379354839,0.225354839,56.74193548
AB1,1998,8,28.99677419,0.819354839,2.976451613,0.170096774,46.87096774
AB1,1998,9,23.92666667,0.436666667,2.239333333,0.155233333,49.43333333
AB1,1998,10,14.93225806,0.625806452,1.101612903,0.208967742,58.35483871
AB1,1998,11,5.513333333,0.213333333,0.488,0.185966667,64.9
AB1,1998,12,-1.370967742,0.84516129,0.35,0.201483871,61
AB1,1999,1,-4.070967742,0.609677419,0.130645161,0.272645161,78.64516129
AB1,1999,2,6.039285714,0.214285714,0.576428571,0.293714286,59.67857143
AB1,1999,3,9.229032258,0.170967742,0.838709677,0.232580645,55.90322581
AB1,1999,4,12.87666667,1.323333333,1.073333333,0.191333333,52.73333333
AB1,1999,5,16.43225806,2.216129032,1.297419355,0.28016129,56.51612903
AB1,1999,6,21.62,2.316666667,1.758,0.224,54.8
AB1,1999,7,24.04193548,2.080645161,2.078709677,0.239903226,55.93548387
AB1,1999,8,27.09032258,1.029032258,2.517419355,0.174580645,53.4516129
AB1,1999,9,19.47,0.396666667,1.712,0.164533333,49.2
AB1,1999,10,14.60645161,0.609677419,1.182580645,0.196322581,52.06451613
AB1,1999,11,10.28333333,0.326666667,0.851333333,0.177066667,57.1
AB1,1999,12,4.367741935,0.348387097,0.460322581,0.213225806,60.5483871
AB1,2000,1,-3.067741935,0.338709677,0.195483871,0.221645161,73.29032258
AB1,2000,2,1.844827586,0.537931034,0.410344828,0.282758621,67.4137931
AB1,2000,3,7.512903226,0.790322581,0.690967742,0.265322581,58.48387097
AB1,2000,4,13.16333333,0.913333333,1.095666667,0.254133333,52.93333333
AB1,2000,5,18.9516129,0.667741935,1.677419355,0.170193548,45.64516129
AB1,2000,6,21.61,1.913333333,1.760333333,0.227533333,55.96666667
AB1,2000,7,28.27741935,0.912903226,2.898064516,0.165935484,46.61290323
AB1,2000,8,26.47096774,0.75483871,2.61483871,0.164419355,47.48387097
AB1,2000,9,20.08333333,0.803333333,1.700333333,0.190033333,53.8
AB1,2000,10,14.09032258,0.309677419,1.14,0.174677419,55.29032258
AB1,2000,11,2.603333333,0.37,0.450333333,0.158666667,62.33333333
AB1,2000,12,-4.961290323,0.458064516,0.182903226,0.199612903,71.74193548
AB1,2001,1,3.029032258,0.129032258,0.410967742,0.24183871,65.80645161
AB1,2001,2,-4.082142857,0.367857143,0.235357143,0.235642857,68.53571429
AB1,2001,3,8.532258065,0.367741935,0.823548387,0.245419355,52.83870968
AB1,2001,4,12.89333333,0.666666667,1.173666667,0.229166667,51.43333333
AB1,2001,5,20.93870968,0.54516129,2.032258065,0.158870968,38.93548387
AB1,2001,6,22.26,1.613333333,1.852666667,0.196366667,52.9
AB1,2001,7,28.07741935,1.406451613,2.883548387,0.168580645,48.03225806
AB1,2001,8,29.93225806,0.051612903,3.48,0.149741935,35.29032258
AB1,2001,9,23.25666667,0.57,2.208333333,0.1653,45.63333333
AB1,2001,10,13.17419355,0.648387097,1.099354839,0.169129032,52.06451613
AB1,2001,11,8.323333333,0.35,0.78,0.198066667,59.6
AB1,2001,12,-1.206451613,0.119354839,0.284516129,0.205290323,68.90322581
AB1,2002,1,0.44516129,0.396774194,0.360322581,0.245709677,64.77419355
AB1,2002,2,3.675,0.589285714,0.534642857,0.245892857,58.92857143
AB1,2002,3,-5.512903226,0.664516129,0.19483871,0.288387097,74.51612903
AB1,2002,4,9.47,0.42,0.869,0.260733333,51.8
AB1,2002,5,15.4516129,2.619354839,1.224193548,0.271870968,56.70967742
AB1,2002,6,21.1,6.246666667,1.498,0.315933333,65.93333333
AB1,2002,7,27.00967742,2.219354839,2.295483871,0.194935484,57.25806452
AB1,2002,8,21.32258065,2.480645161,1.328709677,0.287645161,70.87096774
AB1,2002,9,17.88,2.523333333,1.168,0.2696,65.06666667
AB1,2002,10,7.393548387,0.519354839,0.53516129,0.289903226,69.96774194
AB1,2002,11,6.466666667,0.383333333,0.455,0.297366667,68.06666667
AB1,2002,12,2.406451613,0.180645161,0.326451613,0.264419355,69.4516129
AB1,2003,1,-0.922580645,0.283870968,0.316451613,0.283258065,66.29032258
AB1,2003,2,-1.767857143,0.592857143,0.240714286,0.314107143,72.67857143
AB1,2003,3,4.567741935,0.370967742,0.61,0.311322581,61.06451613
AB1,2003,4,12.71666667,1.37,0.858666667,0.2944,67.96666667
