Region,Year,Month,temperature_2m_max,precipitation_sum,vapour_pressure_deficit_max,soil_moisture_0_to_7cm_mean,relative_humidity_2m_mean
California,2000,1,14.30967742,7.138709677,0.620645161,0.305967742,78.22580645
California,2000,2,15.33448276,8.179310345,0.732413793,0.393344828,77.89655172
California,2000,3,17.50645161,1.432258065,0.905483871,0.339258065,75.29032258
California,2000,4,22.29,1.8,1.613333333,0.276866667,64.83333333
California,2000,5,26.24516129,0.648387097,2.273548387,0.222096774,58.38709677
California,2000,6,32.26666667,0.506666667,3.583,0.164633333,48.86666667
California,2000,7,33.31290323,0,3.967096774,0.126354839,40.87096774
California,2000,8,34.68387097,0.006451613,4.347741935,0.126419355,38.90322581
California,2000,9,30.06666667,0.253333333,3.174666667,0.151966667,49.2
California,2000,10,22.16129032,3.358064516,1.560645161,0.254451613,66.90322581
California,2000,11,14.97333333,0.066666667,0.793333333,0.304266667,71.8
California,2000,12,15.95806452,0.180645161,0.886774194,0.258967742,73.16129032
California,2001,1,13.18709677,3.112903226,0.732903226,0.326935484,75.35483871
California,2001,2,12.51071429,4.164285714,0.5675,0.38925,79.46428571
California,2001,3,18.64516129,2.190322581,0.947419355,0.35516129,76.48387097
California,2001,4,18.45,2.8,1.182333333,0.343366667,69.33333333
California,2001,5,30.70967742,0.035483871,3.341290323,0.18116129,49.4516129
California,2001,6,33.19333333,0,4.174333333,0.128066667,36.66666667
California,2001,7,33.84516129,0.264516129,3.985483871,0.146580645,43.74193548
California,2001,8,35.07096774,0,4.427419355,0.126,38.74193548
California,2001,9,31.95333333,0.006666667,3.598666667,0.1264,42.7
California,2001,10,26.93548387,0.812903226,2.532903226,0.137193548,50.09677419
California,2001,11,17.92,3.053333333,0.965666667,0.317,74.6
California,2001,12,12.30322581,5.119354839,0.514193548,0.390129032,80.87096774
California,2002,1,12.5483871,1.987096774,0.584516129,0.364225806,78.83870968
California,2002,2,16.71428571,0.910714286,0.835714286,0.365321429,77.46428571
California,2002,3,17.01612903,2.3,1.022903226,0.358903226,72.22580645
California,2002,4,20.88333333,0.853333333,1.391,0.281866667,67.03333333
California,2002,5,25.78709677,0.461290323,2.323548387,0.231322581,56.16129032
California,2002,6,32.04333333,0,3.658333333,0.132733333,42.73333333
California,2002,7,36.08064516,0.029032258,4.674193548,0.126387097,38
California,2002,8,33.96129032,0,4.18,0.126,38.64516129
California,2002,9,31.44333333,0.213333333,3.657,0.1353,42.16666667
California,2002,10,24.13225806,0,2.120967742,0.12683871,51.38709677
California,2002,11,19.03666667,3.156666667,1.176,0.2819,68.46666667
California,2002,12,13.89354839,3.722580645,0.700322581,0.332967742,77.19354839
California,2003,1,17.00967742,0.487096774,0.780645161,0.350935484,79.16129032
California,2003,2,14.59285714,2.460714286,0.693571429,0.3485,76.25
California,2003,3,18.23225806,1.661290323,1.001935484,0.348580645,73
California,2003,4,17.14,3.09,1.014,0.364966667,70.76666667
California,2003,5,25.31290323,1.706451613,2.19483871,0.297612903,62.5483871
California,2003,6,31.44333333,0,3.443333333,0.138,47.93333333
California,2003,7,36.43870968,0.006451613,4.749032258,0.12683871,38.96774194
California,2003,8,34.0483871,0.119354839,3.933870968,0.135870968,46.06451613
California,2003,9,33.33,0,3.938666667,0.126,42.56666667
California,2003,10,27.99354839,0.219354839,2.872903226,0.126645161,44.25806452
California,2003,11,15.81666667,1.6,0.895666667,0.298866667,68.96666667
California,2003,12,13.62258065,5.24516129,0.622580645,0.368645161,79.32258065
California,2004,1,13.35806452,1.24516129,0.631935484,0.360032258,80.61290323
California,2004,2,13.49310345,3.927586207,0.645862069,0.379758621,77.93103448
California,2004,3,22.33225806,0.95483871,1.443225806,0.307354839,69.80645161
California,2004,4,23.79666667,0.03,2.183333333,0.183133333,52.23333333
California,2004,5,27.68387097,0.219354839,2.912580645,0.134451613,43.32258065
California,2004,6,31.94666667,0,3.694333333,0.128533333,40.7
California,2004,7,35.9,0,4.744193548,0.126,34.48387097
California,2004,8,34.89677419,0,4.439032258,0.126,36.80645161
California,2004,9,31.51666667,0.003333333,3.902,0.126433333,35.1
California,2004,10,22.49677419,3.683870968,1.844516129,0.245064516,59.77419355
California,2004,11,15.31333333,1.133333333,0.742,0.3385,76.06666667
California,2004,12,14.13225806,5.338709677,0.687419355,0.349548387,75.90322581
California,2005,1,13.67096774,6.670967742,0.554516129,0.386580645,83.16129032
California,2005,2,15.725,3.282142857,0.691785714,0.378035714,79.89285714
California,2005,3,17.57096774,4.203225806,0.866129032,0.367935484,76.32258065
California,2005,4,19.36,1.406666667,1.19,0.328566667,69.86666667
California,2005,5,24.40645161,3.370967742,1.694193548,0.322548387,67.80645161
California,2005,6,28.86333333,0,2.919,0.150266667,48.83333333
California,2005,7,37.4,0,5.175806452,0.126645161,37.19354839
California,2005,8,35.92258065,0.1,4.824193548,0.134870968,36.93548387
California,2005,9,29.49,0.263333333,3.170333333,0.136,42.86666667
California,2005,10,24.40322581,0.209677419,2.136774194,0.144580645,53.67741935
California,2005,11,19.91666667,0.396666667,1.458,0.1752,61.26666667
California,2005,12,15.37419355,4.848387097,0.743548387,0.343032258,77.35483871
California,2006,1,13.9,4.896774194,0.622580645,0.376645161,80.58064516
California,2006,2,16.31071429,1.767857143,0.901071429,0.341285714,73.71428571
California,2006,3,13.07096774,6.870967742,0.618709677,0.405774194,79.35483871
California,2006,4,18.24,6.713333333,0.868,0.3913,78
California,2006,5,27.03870968,0.6,2.351290323,0.236096774,59.93548387
California,2006,6,33.55333333,0,4.101666667,0.1372,43.2
